CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BURG - AUTO,02/03/2016 05:00:00 PM,16-008508,BURGLARY-AUTO,32X,1200 107TH AV,Oakland,CA,"1200 107TH AV
Oakland, CA
(37.736187, -122.169811)"
BURG - AUTO,02/15/2016 10:00:00 PM,16-008617,BURGLARY-AUTO,08X,400 26TH ST,Oakland,CA,"400 26TH ST
Oakland, CA
(37.815161, -122.266418)"
STOLEN VEHICLE,02/16/2016 10:02:00 AM,16-008608,VEHICLE THEFT - AUTO,21X,2400 INYO AV,Oakland,CA,"2400 INYO AV
Oakland, CA
(37.790738, -122.228209)"
ROBBERY,02/15/2016 07:30:00 AM,16-008422,ROBBERY-FIREARM,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781399, -122.215759)"
BURG - AUTO,02/15/2016 07:50:00 PM,16-008549,BURGLARY-AUTO,03X,1000 WEBSTER ST,Oakland,CA,"1000 WEBSTER ST
Oakland, CA
(37.8006, -122.270523)"
MISDEMEANOR ASSAULT,02/14/2016 06:30:00 PM,16-008528,BATTERY,06X,3100 SAN PABLO AV,Oakland,CA,"3100 SAN PABLO AV
Oakland, CA
(37.821614, -122.276768)"
MISDEMEANOR ASSAULT,02/15/2016 01:51:00 AM,16-008398,SC BATTERY,12X,4400 TELEGRAPH AV,Oakland,CA,"4400 TELEGRAPH AV
Oakland, CA
(37.832558, -122.263518)"
BURG - AUTO,02/09/2016 07:00:00 PM,16-901383,BURGLARY-AUTO,08X,400 W GRAND AV,Oakland,CA,"400 W GRAND AV
Oakland, CA
(37.81154, -122.266726)"
BURG - RESIDENTIAL,02/13/2016 03:00:00 AM,16-008605,BURGLARY-FORCIBLE ENTRY,18X,2200 E 17TH ST,Oakland,CA,"2200 E 17TH ST
Oakland, CA
(37.78698, -122.235361)"
BURG - AUTO,02/05/2016 09:25:00 PM,16-901409,BURGLARY-AUTO,11X,500 62ND ST,Oakland,CA,"500 62ND ST
Oakland, CA
(37.847938, -122.260975)"
STOLEN VEHICLE,02/14/2016 05:00:00 PM,16-008406,VEHICLE THEFT - AUTO,12Y,5600 COLLEGE AV,Oakland,CA,"5600 COLLEGE AV
Oakland, CA
(37.843652, -122.251689)"
BURG - AUTO,01/23/2016 09:25:00 PM,16-901444,BURGLARY-AUTO,28X,3300 BIRDSALL AV,Oakland,CA,"3300 BIRDSALL AV
Oakland, CA
(37.782164, -122.193168)"
VANDALISM,01/26/2016 02:00:00 AM,16-901464,VANDALISM,29X,7200 NEY AV,Oakland,CA,"7200 NEY AV
Oakland, CA
(37.770417, -122.171997)"
BURG - OTHER,02/13/2016 10:01:00 AM,16-008458,BURGLARY-NO FORCE,11X,500 63RD ST,Oakland,CA,"500 63RD ST
Oakland, CA
(37.84867, -122.260961)"
DOMESTIC VIOLENCE,02/15/2016 01:00:00 PM,16-008476,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,8300 INTERNATIONAL BLVD,Oakland,CA,"8300 INTERNATIONAL BLVD
Oakland, CA
(37.75514, -122.178467)"
PETTY THEFT,02/15/2016 11:00:00 PM,16-008562,THEFT,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
STOLEN AND RECOVERED VEHICLE,02/13/2016 12:00:00 AM,16-008536,VEHICLE THEFT - AUTO,30X,1400 76TH AV,Oakland,CA,"1400 76TH AV
Oakland, CA
(37.758516, -122.184429)"
STOLEN VEHICLE,02/16/2016 09:50:00 AM,16-008590,VEHICLE THEFT - AUTO,27Y,1600 51ST AV,Oakland,CA,"1600 51ST AV
Oakland, CA
(37.770207, -122.207041)"
ROBBERY,02/15/2016 11:58:00 PM,16-008385,ROBBERY-FIREARM,29X,6000 CAMDEN ST,Oakland,CA,"6000 CAMDEN ST
Oakland, CA
(37.774826, -122.184685)"
STOLEN VEHICLE,02/13/2016 10:00:00 AM,16-008629,VEHICLE THEFT - AUTO,02Y,1400 8TH ST,Oakland,CA,"1400 8TH ST
Oakland, CA
(37.806078, -122.293274)"
STOLEN VEHICLE,02/14/2016 07:30:00 PM,16-008499,VEHICLE THEFT - AUTO,21Y,2900 FOOTHILL BLVD,Oakland,CA,"2900 FOOTHILL BLVD
Oakland, CA
(37.784273, -122.224517)"
STOLEN VEHICLE,02/16/2016 07:00:00 PM,16-008570,VEHICLE THEFT - AUTO,21Y,2600 E 27TH ST,Oakland,CA,"2600 E 27TH ST
Oakland, CA
(37.79142, -122.22244)"
PETTY THEFT,01/24/2016 10:00:00 AM,16-901448,THEFT,12Y,5400 CLAREMONT AV,Oakland,CA,"5400 CLAREMONT AV
Oakland, CA
(37.841208, -122.258906)"
OTHER,01/18/2016 01:20:00 PM,16-901427,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,33X,800 WOODSON DR,Oakland,CA,"800 WOODSON DR
Oakland, CA
(37.740758, -122.178489)"
STOLEN VEHICLE,02/14/2016 05:00:00 PM,16-008521,VEHICLE THEFT - AUTO,21Y,2600 COOLIDGE AV,Oakland,CA,"2600 COOLIDGE AV
Oakland, CA
(37.787996, -122.217657)"
STOLEN VEHICLE,02/13/2016 10:00:00 PM,16-008425,VEHICLE THEFT - AUTO,26Y,1100 70TH AV,Oakland,CA,"1100 70TH AV
Oakland, CA
(37.758571, -122.192253)"
MISDEMEANOR ASSAULT,02/16/2016 09:45:00 AM,16-008616,BATTERY,35X,8700 HILLSIDE ST,Oakland,CA,"8700 HILLSIDE ST
Oakland, CA
(37.757275, -122.163997)"
STOLEN VEHICLE,02/14/2016 08:30:00 PM,16-008421,VEHICLE THEFT - AUTO,17Y,2500 9TH AV,Oakland,CA,"2500 9TH AV
Oakland, CA
(37.80018, -122.240221)"
STOLEN VEHICLE,02/15/2016 06:37:00 AM,16-008414,ATTEMPT VEHICLE THEFT-AUTO,16Y,1300 E 38TH ST,Oakland,CA,"1300 E 38TH ST
Oakland, CA
(37.804435, -122.229239)"
MISDEMEANOR ASSAULT,02/03/2016 08:27:00 PM,16-006403,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,03X,400 12TH ST,Oakland,CA,"400 12TH ST
Oakland, CA
(37.80247, -122.270835)"
BURG - AUTO,02/10/2016 08:25:00 PM,16-901412,BURGLARY-AUTO,12X,4900 SHATTUCK AV,Oakland,CA,"4900 SHATTUCK AV
Oakland, CA
(37.835924, -122.26392)"
VANDALISM,01/21/2016 09:30:00 PM,16-901437,VANDALISM,05Y,1400 17TH ST,Oakland,CA,"1400 17TH ST
Oakland, CA
(37.813056, -122.290868)"
STOLEN VEHICLE,02/14/2016 11:30:00 PM,16-008415,VEHICLE THEFT - AUTO,25X,3800 BUELL ST,Oakland,CA,"3800 BUELL ST
Oakland, CA
(37.785919, -122.186688)"
VANDALISM,02/09/2016 06:00:00 AM,16-901406,VANDALISM,34X,9400 OLIVE ST,Oakland,CA,"9400 OLIVE ST
Oakland, CA
(37.749921, -122.165879)"
FELONY ASSAULT,02/15/2016 12:55:00 AM,16-008389,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,900 85TH AV,Oakland,CA,"900 85TH AV
Oakland, CA
(37.749268, -122.18561)"
VANDALISM,02/13/2016 12:40:00 AM,16-008078,VANDALISM,29X,7200 MACARTHUR BLVD,Oakland,CA,"7200 MACARTHUR BLVD
Oakland, CA
(37.76954, -122.172833)"
VANDALISM,02/15/2016 04:42:00 AM,16-008409,VANDALISM:DEFACE PROPERTY,08X,2700 TELEGRAPH AV,Oakland,CA,"2700 TELEGRAPH AV
Oakland, CA
(37.816241, -122.267896)"
PETTY THEFT,01/26/2016 01:35:00 AM,16-901460,THEFT,16X,700 CARLSTON AV,Oakland,CA,"700 CARLSTON AV
Oakland, CA
(37.811208, -122.231424)"
MISDEMEANOR ASSAULT,02/15/2016 05:00:00 PM,16-008520,BATTERY,23X,3300 E 17TH ST,Oakland,CA,"3300 E 17TH ST
Oakland, CA
(37.781026, -122.222669)"
BURG - RESIDENTIAL,02/14/2016 01:00:00 PM,16-008435,BURGLARY-FORCIBLE ENTRY,32Y,2100 103RD AV,Oakland,CA,"2100 103RD AV
Oakland, CA
(37.742834, -122.159948)"
ROBBERY,02/16/2016 12:10:00 AM,16-008558,ROBBERY-FIREARM,12X,4100 TELEGRAPH AV,Oakland,CA,"4100 TELEGRAPH AV
Oakland, CA
(37.830012, -122.264216)"
GRAND THEFT,01/17/2016 12:20:00 PM,16-901436,GRAND THEFT,14Y,400 JEAN ST,Oakland,CA,"400 JEAN ST
Oakland, CA
(37.814857, -122.250619)"
PETTY THEFT,01/22/2016 05:45:00 PM,16-901440,THEFT,26X,4300 SAN LEANDRO ST,Oakland,CA,"4300 SAN LEANDRO ST
Oakland, CA
(37.770575, -122.217081)"
PETTY THEFT,01/27/2016 12:00:00 AM,16-901391,THEFT,04X,1500 FRANKLIN ST,Oakland,CA,"1500 FRANKLIN ST
Oakland, CA
(37.804815, -122.269353)"
BURG - COMMERCIAL,01/22/2016 10:20:00 AM,16-901450,BURGLARY-FORCIBLE ENTRY,04X,1600 FRANKLIN ST,Oakland,CA,"1600 FRANKLIN ST
Oakland, CA
(37.805357, -122.269015)"
FRAUD,01/24/2016 01:10:00 PM,16-901447,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Y,6100 PINEWOOD RD,Oakland,CA,"6100 PINEWOOD RD
Oakland, CA
(37.843716, -122.221083)"
PETTY THEFT,02/11/2016 05:00:00 AM,16-008526,THEFT,30Y,7700 SUNKIST DR,Oakland,CA,"7700 SUNKIST DR
Oakland, CA
(37.770076, -122.16435)"
FELONY ASSAULT,02/15/2016 03:46:00 PM,16-008503,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,1200 BROADWAY,Oakland,CA,"1200 BROADWAY
Oakland, CA
(37.802942, -122.272065)"
PETTY THEFT,01/23/2016 04:50:00 PM,16-901443,THEFT,25Y,500 CANYON OAKS DR,Oakland,CA,"500 CANYON OAKS DR
Oakland, CA
(37.772525, -122.147812)"
STOLEN VEHICLE,02/15/2016 01:09:00 PM,16-008471,VEHICLE THEFT - AUTO,31Y,300 ASHTON AV,Oakland,CA,"300 ASHTON AV
Oakland, CA
(37.734579, -122.188016)"
STOLEN VEHICLE,02/14/2016 04:00:00 PM,16-008455,VEHICLE THEFT - AUTO,24Y,3700 PENNIMAN AV,Oakland,CA,"3700 PENNIMAN AV
Oakland, CA
(37.788361, -122.204957)"
VANDALISM,01/25/2016 10:00:00 PM,16-901457,VANDALISM,32Y,2500 108TH AV,Oakland,CA,"2500 108TH AV
Oakland, CA
(37.741506, -122.151558)"
ROBBERY,02/14/2016 03:36:00 PM,16-008322,CARJACKING WITH FIREARM,32X,1300 99TH AV,Oakland,CA,"1300 99TH AV
Oakland, CA
(37.74304, -122.171164)"
BURG - AUTO,02/15/2016 11:28:00 AM,16-008460,ATTEMPTED BURGLARY,03Y,600 8TH ST,Oakland,CA,"600 8TH ST
Oakland, CA
(37.80161, -122.277343)"
RECOVERED O/S STOLEN,02/15/2016 10:45:00 AM,16-008450,VEHICLE THEFT - AUTO,33X,8700 G ST,Oakland,CA,"8700 G ST
Oakland, CA
(37.747935, -122.18456)"
FELONY ASSAULT,02/12/2016 01:12:00 AM,16-007881,ASSAULT WITH FIREARM ON PERSON,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781399, -122.215759)"
STOLEN VEHICLE,02/14/2016 12:00:00 PM,16-008438,VEHICLE THEFT - AUTO,14X,200 MACARTHUR BLVD,Oakland,CA,"200 MACARTHUR BLVD
Oakland, CA
(37.817623, -122.253038)"
MISDEMEANOR ASSAULT,02/15/2016 02:30:00 AM,16-008400,BATTERY,20X,2900 INTERNATIONAL BLVD,Oakland,CA,"2900 INTERNATIONAL BLVD
Oakland, CA
(37.779203, -122.228842)"
VANDALISM,01/27/2016 04:05:00 PM,16-901390,VANDALISM,28X,4800 BROOKDALE AV,Oakland,CA,"4800 BROOKDALE AV
Oakland, CA
(37.779203, -122.200395)"
MISDEMEANOR ASSAULT,02/15/2016 10:50:00 AM,16-008556,DISTURB THE PEACE,24Y,2600 38TH AV,Oakland,CA,"2600 38TH AV
Oakland, CA
(37.785389, -122.207445)"
STOLEN VEHICLE,02/16/2016 04:27:00 AM,16-008573,VEHICLE THEFT - AUTO,08X,3200 KEMPTON AV,Oakland,CA,"3200 KEMPTON AV
Oakland, CA
(37.818626, -122.257572)"
DOMESTIC VIOLENCE,02/16/2016 02:00:00 AM,16-008557,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1200 26TH AV,Oakland,CA,"1200 26TH AV
Oakland, CA
(37.78056, -122.233381)"
THREATS,02/15/2016 12:43:00 PM,16-008478,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,2600 74TH AV,Oakland,CA,"2600 74TH AV
Oakland, CA
(37.76625, -122.175004)"
PETTY THEFT,01/21/2016 12:15:00 AM,16-901398,THEFT,12Y,6400 HILLEGASS AV,Oakland,CA,"6400 HILLEGASS AV
Oakland, CA
(37.850959, -122.254737)"
FELONY ASSAULT,02/16/2016 02:33:00 AM,16-008564,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,14X,200 GRAND AV,Oakland,CA,"200 GRAND AV
Oakland, CA
(37.810816, -122.261707)"
VANDALISM,02/15/2016 07:21:00 PM,16-008529,VANDALISM,28X,2500 55TH AV,Oakland,CA,"2500 55TH AV
Oakland, CA
(37.773528, -122.194573)"
STOLEN VEHICLE,02/15/2016 08:00:00 PM,16-008654,VEHICLE THEFT - AUTO,19X,1300 LAKESHORE AV,Oakland,CA,"1300 LAKESHORE AV
Oakland, CA
(37.799442, -122.258081)"
FRAUD,01/25/2016 02:40:00 PM,16-901400,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,14X,300 EUCLID AV,Oakland,CA,"300 EUCLID AV
Oakland, CA
(37.814037, -122.252878)"
MISDEMEANOR ASSAULT,02/14/2016 04:30:00 PM,16-008509,BATTERY,35X,2300 83RD AV,Oakland,CA,"2300 83RD AV
Oakland, CA
(37.760108, -122.167927)"
BURG - AUTO,01/26/2016 06:00:00 PM,16-901399,BURGLARY-AUTO,08X,2300 VALDEZ ST,Oakland,CA,"2300 VALDEZ ST
Oakland, CA
(37.811834, -122.264181)"
PETTY THEFT,02/13/2016 05:00:00 PM,16-008527,THEFT,32X,1100 101ST AV,Oakland,CA,"1100 101ST AV
Oakland, CA
(37.739568, -122.173495)"
FELONY ASSAULT,02/15/2016 08:25:00 PM,16-008537,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,29X,5800 MORSE DR,Oakland,CA,"5800 MORSE DR
Oakland, CA
(37.773564, -122.189716)"
STOLEN VEHICLE,02/15/2016 01:00:00 PM,16-008542,VEHICLE THEFT - AUTO,35X,8300 DOWLING ST,Oakland,CA,"8300 DOWLING ST
Oakland, CA
(37.759852, -122.167957)"
,02/15/2016 04:20:00 PM,16-008511,MURDER:FIRST DEGREE,31Z,500 CATRON DR,Oakland,CA,"500 CATRON DR
Oakland, CA
(37.727209, -122.173006)"
FRAUD,01/23/2016 04:25:00 PM,16-901441,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,18X,1600 E 19TH ST,Oakland,CA,"1600 E 19TH ST
Oakland, CA
(37.791608, -122.240887)"
STOLEN VEHICLE,02/15/2016 11:42:00 AM,16-008479,VEHICLE THEFT - AUTO,29X,5600 WALNUT ST,Oakland,CA,"5600 WALNUT ST
Oakland, CA
(37.773896, -122.192844)"
BURG - AUTO,02/04/2016 07:30:00 PM,16-901407,BURGLARY-AUTO,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.811952, -122.265251)"
FELONY ASSAULT,02/15/2016 06:46:00 PM,16-008545,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,9600 SUNNYSIDE ST,Oakland,CA,"9600 SUNNYSIDE ST
Oakland, CA
(37.748643, -122.163484)"
ROBBERY,02/15/2016 04:24:00 PM,16-008510,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
PETTY THEFT,02/10/2016 08:25:00 AM,16-901387,THEFT,11X,600 54TH ST,Oakland,CA,"600 54TH ST
Oakland, CA
(37.839541, -122.264602)"
STOLEN VEHICLE,02/15/2016 02:00:00 AM,16-008420,VEHICLE THEFT - AUTO,25X,3800 BUELL ST,Oakland,CA,"3800 BUELL ST
Oakland, CA
(37.785919, -122.186688)"
VANDALISM,02/08/2016 07:30:00 PM,16-901411,VANDALISM,08X,2600 BROADWAY,Oakland,CA,"2600 BROADWAY
Oakland, CA
(37.814845, -122.264528)"
PETTY THEFT,01/27/2016 07:35:00 AM,16-901388,THEFT,01X,100 EMBARCADERO,Oakland,CA,"100 EMBARCADERO
Oakland, CA
(37.798985, -122.286531)"
FRAUD,01/23/2016 07:00:00 PM,16-901449,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,07X,1500 40TH ST,Oakland,CA,"1500 40TH ST
Oakland, CA
(37.829447, -122.287861)"
ROBBERY,02/15/2016 01:58:00 PM,16-008486,ROBBERY-KNIFE OR CUTTING INSTRUMENT,30X,7200 INTERNATIONAL BLVD,Oakland,CA,"7200 INTERNATIONAL BLVD
Oakland, CA
(37.759609, -122.187806)"
STOLEN VEHICLE,02/12/2016 07:30:00 AM,16-008003,VEHICLE THEFT - AUTO,32Y,2100 105TH AV,Oakland,CA,"2100 105TH AV
Oakland, CA
(37.741574, -122.159253)"
GRAND THEFT,01/21/2016 09:00:00 PM,16-901431,GRAND THEFT,04X,1500 HARRISON ST,Oakland,CA,"1500 HARRISON ST
Oakland, CA
(37.803976, -122.26694)"
STOLEN VEHICLE,02/13/2016 11:00:00 PM,16-008334,VEHICLE THEFT - AUTO,31Y,600 CLARA ST,Oakland,CA,"600 CLARA ST
Oakland, CA
(37.737576, -122.187486)"
DOMESTIC VIOLENCE,02/15/2016 04:08:00 PM,16-008505,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26X,5300 E 10TH ST,Oakland,CA,"5300 E 10TH ST
Oakland, CA
(37.765457, -122.209385)"
NARCOTICS,02/16/2016 02:20:00 AM,16-008566,POSSESS/PURCHASE COCAINE BASE FOR SALE,34X,8300 INTERNATIONAL BLVD,Oakland,CA,"8300 INTERNATIONAL BLVD
Oakland, CA
(37.75514, -122.178467)"
BURG - AUTO,02/16/2016 01:00:00 AM,16-008587,BURGLARY-AUTO,21X,2500 E 24TH ST,Oakland,CA,"2500 E 24TH ST
Oakland, CA
(37.789073, -122.226478)"
PETTY THEFT,02/09/2016 08:57:00 AM,16-901402,THEFT,29X,6600 OUTLOOK AV,Oakland,CA,"6600 OUTLOOK AV
Oakland, CA
(37.774659, -122.174605)"
MISDEMEANOR ASSAULT,02/15/2016 12:00:00 AM,16-008392,BATTERY,19X,1500 5TH AV,Oakland,CA,"1500 5TH AV
Oakland, CA
(37.796403, -122.252913)"
PETTY THEFT,02/16/2016 02:01:00 PM,16-008662,ATTEMPT THEFT,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774583, -122.231382)"
DOMESTIC VIOLENCE,02/15/2016 09:45:00 PM,16-008547,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03X,800 FRANKLIN ST,Oakland,CA,"800 FRANKLIN ST
Oakland, CA
(37.799726, -122.272547)"
BURG - AUTO,01/23/2016 07:00:00 PM,16-901462,BURGLARY-AUTO,01X,200 CLAY ST,Oakland,CA,"200 CLAY ST
Oakland, CA
(37.797028, -122.278783)"
FELONY ASSAULT,02/10/2016 05:00:00 PM,16-008299,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,34X,9400 OLIVE ST,Oakland,CA,"9400 OLIVE ST
Oakland, CA
(37.749921, -122.165879)"
BURG - AUTO,02/15/2016 02:40:00 PM,16-008498,BURGLARY-AUTO,34X,1600 82ND AV,Oakland,CA,"1600 82ND AV
Oakland, CA
(37.756728, -122.177283)"
STOLEN VEHICLE,02/12/2016 12:00:00 PM,16-008419,VEHICLE THEFT - AUTO,30Y,8000 NEY AV,Oakland,CA,"8000 NEY AV
Oakland, CA
(37.764628, -122.164655)"
RECOVERED O/S STOLEN,02/15/2016 08:56:00 AM,16-008428,VEHICLE THEFT - AUTO,19X,1500 15TH AV,Oakland,CA,"1500 15TH AV
Oakland, CA
(37.79007, -122.244212)"
ROBBERY,02/15/2016 06:40:00 AM,16-008413,ROBBERY-KNIFE OR CUTTING INSTRUMENT,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
GRAND THEFT,01/22/2016 08:30:00 PM,16-901455,GRAND THEFT,12X,400 48TH ST,Oakland,CA,"400 48TH ST
Oakland, CA
(37.834326, -122.258959)"
FELONY ASSAULT,02/15/2016 02:45:00 PM,16-008496,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,15X,300 LESTER AV,Oakland,CA,"300 LESTER AV
Oakland, CA
(37.801668, -122.251423)"
DOMESTIC VIOLENCE,02/15/2016 04:15:00 PM,16-008506,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1500 27TH AV,Oakland,CA,"1500 27TH AV
Oakland, CA
(37.781603, -122.230671)"
RECOVERED O/S STOLEN,02/15/2016 01:00:00 PM,16-008483,VEHICLE THEFT - AUTO,31Y,9800 LYNDHURST ST,Oakland,CA,"9800 LYNDHURST ST
Oakland, CA
(37.735878, -122.183483)"
BURG - AUTO,02/03/2016 12:30:00 PM,16-901404,BURGLARY-AUTO,01X,600 3RD ST,Oakland,CA,"600 3RD ST
Oakland, CA
(37.798277, -122.27975)"
STOLEN VEHICLE,02/14/2016 04:00:00 PM,16-008390,VEHICLE THEFT - AUTO,03Y,500 9TH ST,Oakland,CA,"500 9TH ST
Oakland, CA
(37.801391, -122.274677)"
VANDALISM,02/09/2016 09:47:00 PM,16-901385,VANDALISM,21Y,3200 LAUREL AV,Oakland,CA,"3200 LAUREL AV
Oakland, CA
(37.792674, -122.207822)"
MISDEMEANOR ASSAULT,02/05/2016 01:00:00 PM,16-008461,BATTERY,21Y,3000 MAPLE AV,Oakland,CA,"3000 MAPLE AV
Oakland, CA
(37.791224, -122.210907)"
VANDALISM,01/18/2016 08:15:00 AM,16-901393,VANDALISM,14Y,500 VALLE VISTA AV,Oakland,CA,"500 VALLE VISTA AV
Oakland, CA
(37.81435, -122.247305)"
BURG - AUTO,02/10/2016 07:00:00 AM,16-901384,BURGLARY-AUTO,23X,1800 ROSEDALE AV,Oakland,CA,"1800 ROSEDALE AV
Oakland, CA
(37.776224, -122.215605)"
RECOVERED O/S STOLEN,02/15/2016 03:52:00 AM,16-008404,VEHICLE THEFT - AUTO,07X,1600 24TH ST,Oakland,CA,"1600 24TH ST
Oakland, CA
(37.81829, -122.288184)"
MISDEMEANOR ASSAULT,02/12/2016 08:00:00 PM,16-008416,BATTERY,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785085, -122.233858)"
RECOVERED O/S STOLEN,02/15/2016 01:27:00 AM,16-008393,VEHICLE THEFT - AUTO,02X,1100 12TH ST,Oakland,CA,"1100 12TH ST
Oakland, CA
(37.807907, -122.285801)"
STOLEN VEHICLE,02/15/2016 04:00:00 PM,16-008546,VEHICLE THEFT - AUTO,22X,3300 FRUITVALE AV,Oakland,CA,"3300 FRUITVALE AV
Oakland, CA
(37.798748, -122.216742)"
STOLEN VEHICLE,02/14/2016 10:00:00 PM,16-008411,VEHICLE THEFT - AUTO,21Y,2200 COOLIDGE AV,Oakland,CA,"2200 COOLIDGE AV
Oakland, CA
(37.784323, -122.220477)"
STOLEN VEHICLE,02/12/2016 08:00:00 PM,16-008598,VEHICLE THEFT - AUTO,33X,8800 A ST,Oakland,CA,"8800 A ST
Oakland, CA
"
NARCOTICS,02/14/2016 07:55:00 PM,16-008354,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,34X,1600 83RD AV,Oakland,CA,"1600 83RD AV
Oakland, CA
(37.755967, -122.176777)"
MISDEMEANOR ASSAULT,02/15/2016 10:29:00 AM,16-008451,SC BATTERY,18X,1700 E 19TH ST,Oakland,CA,"1700 E 19TH ST
Oakland, CA
(37.791119, -122.239955)"
FRAUD,02/04/2016 08:25:00 AM,16-901413,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,26Y,800 75TH AV,Oakland,CA,"800 75TH AV
Oakland, CA
(37.75299, -122.194129)"
DOMESTIC VIOLENCE,02/15/2016 10:41:00 PM,16-008381,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25X,3800 39TH AV,Oakland,CA,"3800 39TH AV
Oakland, CA
(37.791812, -122.194417)"
MISDEMEANOR ASSAULT,02/11/2016 04:00:00 PM,16-008553,DISTURB THE PEACE,35X,3500 CALANDRIA AV,Oakland,CA,"3500 CALANDRIA AV
Oakland, CA
(37.758558, -122.151738)"
STOLEN VEHICLE,02/14/2016 06:00:00 PM,16-008522,VEHICLE THEFT - AUTO,16Y,1300 BARROWS RD,Oakland,CA,"1300 BARROWS RD
Oakland, CA
(37.807872, -122.228279)"
ROBBERY,02/16/2016 05:30:00 AM,16-008596,"ATT ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET, ETC)",34X,1600 83RD AV,Oakland,CA,"1600 83RD AV
Oakland, CA
(37.755967, -122.176777)"
STOLEN VEHICLE,02/02/2016 10:00:00 AM,16-008561,VEHICLE THEFT - AUTO,04X,600 15TH ST,Oakland,CA,"600 15TH ST
Oakland, CA
(37.80657, -122.274781)"
PETTY THEFT,01/25/2016 09:10:00 AM,16-901452,THEFT,25X,4200 MACARTHUR BLVD,Oakland,CA,"4200 MACARTHUR BLVD
Oakland, CA
(37.788343, -122.195697)"
STOLEN VEHICLE,02/14/2016 10:00:00 PM,16-008396,VEHICLE THEFT - AUTO,22X,2500 MACARTHUR BLVD,Oakland,CA,"2500 MACARTHUR BLVD
Oakland, CA
(37.799439, -122.212544)"
BURG - AUTO,01/25/2016 12:30:00 PM,16-901458,BURGLARY-AUTO,01X,100 WEBSTER ST,Oakland,CA,"100 WEBSTER ST
Oakland, CA
(37.794689, -122.274211)"
,02/02/2016 03:25:00 PM,16-901500,GRAND THEFT,20X,1500 27TH AVE,Oakland,CA,"1500 27TH AVE
Oakland, CA
(37.781603, -122.230671)"
,02/04/2016 10:05:00 AM,16-006496,GRAND THEFT NOT MORE THAN $950,07X,2500 SAN PABLO AV,Oakland,CA,"2500 SAN PABLO AV
Oakland, CA
(37.81592, -122.274936)"
BURG - OTHER,02/07/2016 11:00:00 PM,16-901361,BURGLARY-FORCIBLE ENTRY,09X,3400 RICHMOND BLVD,Oakland,CA,"3400 RICHMOND BLVD
Oakland, CA
(37.820488, -122.258268)"
BURG - AUTO,02/08/2016 05:30:00 PM,16-901352,BURGLARY-AUTO,01X,100 FRANKLIN ST,Oakland,CA,"100 FRANKLIN ST
Oakland, CA
(37.794941, -122.27554)"
FRAUD,02/04/2016 01:39:00 PM,16-008813,FRAUD TO OBTAIN AID,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
